,IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
x,588208,Vitis_cinerea,37.07983298,147.6518034,2777.584665,27.07158519,8042.58319,2583.143212,17332.94657,22335.43585,127.2522244,683.0923156,0.285273373,4.46165427,228.3322874,407.8193268,0.015438546,7.501047958,18.68424643,0.840107099,0.042316156
x,588186,Vitis_cinerea,103.6672273,396.7189173,1419.290744,16.41658426,6847.029791,2305.099041,16494.06387,12628.38421,54.49927481,415.4689697,0.15261554,1.197143388,103.0181894,172.5828498,0.007886724,3.144512205,10.48322075,1.813390879,0.03194081
x,588197,Vitis_cinerea,102.1219699,327.9491028,1867.376243,20.74139978,6268.946403,2661.598397,20851.28844,5607.193495,64.95043222,403.6566059,0.18470545,3.259695886,77.82141767,130.4666397,0.017893727,4.477834508,3.508387752,0.934556787,0.032845364
x,588218,Vitis_cinerea,52.26439831,459.17992,1493.198329,19.83680332,6464.131194,2182.026657,16098.77955,11097.79513,124.7923691,373.1173923,0.174196274,4.149430177,138.4180961,342.2978019,0.028696053,6.111441325,6.466946184,1.43319586,0.079922085
x,171,Vitis_cinerea,75.2132194,92.61998698,1133.607888,16.2298414,4876.864695,1983.738867,12694.0698,5194.202183,84.72929259,405.5870902,0.166463628,0.708715431,91.31077285,133.1899535,0.019941871,1.973270702,4.11403348,0.079544076,0.044791298
x,588575,Vitis_cinerea,21.76877895,89.73312336,1701.517876,18.01525418,7236.960182,2507.94216,20140.16093,8950.264786,62.34619375,379.9429799,0.157276351,1.626819436,108.1892858,156.8193096,0.015681844,4.084482412,6.220994314,2.827201648,0.029887547
x,597232,Vitis_cinerea,40.60209278,226.0874026,1420.253109,24.64093769,6324.599859,2583.947868,20032.36067,7502.904118,75.09482325,311.9985344,0.156875459,4.269305812,93.32256978,210.4285508,0.023067761,5.204493788,3.934108078,0.736435514,0.246082775
x,588678,Vitis_cinerea,84.97460875,290.0480204,1516.745441,28.36326413,6481.808186,2596.438914,17733.94107,6409.900364,56.69600905,371.8721413,0.162277487,2.7093781,128.1566224,218.8669087,0.022218674,6.278528774,3.160559213,1.344697435,0.037591519
x,588466,Vitis_cinerea,17.31428989,92.41826795,1822.462012,17.3661364,4658.105371,2001.656598,14387.22697,8920.750675,48.81631747,334.550152,0.125515988,0.458201689,72.02883382,111.7218412,0.011220521,3.306839417,6.380348415,0.424825544,0.025318582
x,588685,Vitis_cinerea,73.48443885,487.1420172,2057.609013,24.92394093,6466.180564,2362.951296,17337.97545,12213.14587,58.65093419,354.3161655,0.126906212,3.013596052,76.86616493,128.5186873,0.035212372,5.81681946,10.95623074,1.165012378,0.055889438
x,588460,Vitis_cinerea,14.00194952,125.2158473,1331.489325,22.11445344,5644.331129,2271.992935,16255.34918,6416.406029,55.2840753,373.3442789,0.203482207,1.157980882,100.6388075,136.9924982,0.015924287,8.553807908,4.138695442,0.90352298,0.024368424
x,588328,Vitis_cinerea,175.9178186,215.2293408,1844.464832,22.0355366,6388.510427,2075.117559,17543.5719,10599.03729,80.74961423,405.4181936,0.190305757,4.229787477,97.7007675,178.2039077,0.013417827,3.775103164,7.501420595,0.711824845,0.040251841
x,588143,Vitis_cinerea,93.68581161,203.4359563,1592.214143,33.13831395,6693.408404,2530.471592,17981.6169,10671.24463,78.45209259,483.5687042,0.194869768,1.521357356,112.0458706,148.6016975,0.017573109,5.071582898,7.03166882,1.040270725,0.03939697
x,588372,Vitis_cinerea,203.8571863,683.0089665,1847.495778,29.0701747,7009.151991,2147.991608,20952.73556,5197.008834,93.3903769,323.8303149,0.15985337,3.269193916,145.6339923,170.81859,0.017787733,4.563839752,3.053231389,0.735777118,0.071755343
x,588329,Vitis_cinerea,56.34339444,268.8212782,1379.499794,49.80509763,6032.795759,2737.85486,18965.80518,4265.071755,81.9231707,901.4041284,0.382912061,6.021570032,113.0091327,210.8869517,0.023401542,4.220450139,2.370222401,0.495470247,0.03972444
x,588352,Vitis_cinerea,17.58481893,180.0697255,936.1471621,14.40690333,3133.619693,1539.136295,8551.354789,7475.839752,38.76126081,219.4052629,0.096905388,1.962158474,65.80339564,101.0032591,0.00719921,1.796274326,6.624595467,0.272796315,0.023227961
x,588220,Vitis_cinerea,118.3388922,373.3585732,2133.350835,12.75956292,6249.527452,2663.25984,16001.30936,11078.21565,72.55813872,386.0286963,0.155239852,1.757540137,103.1829566,118.7312336,0.00706802,4.33618411,17.08239529,0.671874091,0.026736979
x,588222,Vitis_cinerea,213.4382944,560.2770364,1658.580323,16.48374511,6658.466006,2553.303145,16536.92704,8790.745308,69.94761427,442.594114,0.217716051,2.558496897,141.5192067,137.9848459,0.015099051,5.005965071,5.865957549,0.68193355,0.058330624
x,588128,Vitis_labrusca,57.87479545,537.5981404,1934.596456,17.02314492,6103.994403,2369.175928,18578.92676,5557.998099,69.07929343,291.6252376,0.128460784,0.699854669,83.61389967,109.3482311,0.002492986,4.901689519,7.561081361,1.156686969,0.01789411
x,588173,Vitis_labrusca,68.08214708,198.6547323,1775.286946,14.71905412,5805.296345,1871.021641,18656.57555,5403.016117,50.39967309,111.8124736,0.0639211,0.818721354,75.78387232,118.0046083,0.015762237,4.705302856,4.082109018,0.05156168,0.026281595
x,588182,Vitis_labrusca,91.09580116,371.84644,2286.021205,23.65161213,5857.690722,1792.890424,18214.06706,5455.55166,56.93492956,168.3575779,0.080211467,1.202076815,93.17088793,116.4049473,0.016009856,3.716270468,4.489051888,0.0974562,0.019997555
x,588165,Vitis_labrusca,205.1360264,340.162435,2027.925461,14.96920432,5920.59364,2092.880245,18377.64365,4820.340716,52.53101758,184.2418327,0.071603447,0.904179991,50.97529952,123.1730191,0.013349563,4.996801462,3.186872037,0.053898438,0.026285867
x,483164,Vitis_labrusca,142.3903409,370.6231402,2001.853002,23.61544451,7166.249788,2661.392296,18463.67835,8326.947449,68.05542416,403.8961584,0.186208432,1.317206624,83.83872399,184.907384,0.028884673,4.984702541,6.439971871,0.060645748,0.052689948
x,483160,Vitis_labrusca,170.2234303,283.0091534,1551.245061,28.39932091,5848.305856,2003.931764,17750.0441,3751.00646,70.87431617,273.1869909,0.125634943,0.862341293,101.2360415,121.2086792,0.018874751,4.562495264,3.110522571,0.130752063,0.03804389
x,483161,Vitis_labrusca,87.17708761,172.8638789,1610.888661,20.16683427,5443.653004,2359.726278,17144.31885,6995.203526,47.43674209,233.0694922,0.108511018,0.636152542,68.79961407,125.0117234,0.011898362,6.160905519,7.414895044,0.028948831,0.030910718
x,483148,Vitis_labrusca,177.2084846,678.4810369,2719.12282,21.14108567,6027.04086,2073.120216,18206.41062,6525.657123,62.40766585,251.4099951,0.095492602,1.213839138,87.20551236,137.6335511,0.029622032,1.88970283,6.095819086,0.086797763,0.028648732
x,588583,Vitis_labrusca,84.46870278,315.8795705,1614.019244,25.11547813,6249.828921,2396.120805,20925.29884,1633.76323,40.58618533,130.9137582,0.059303256,1.79946807,75.15394606,117.0716003,0.051771936,3.574951643,1.092523584,0.131434884,0.034798331
x,588584,Vitis_labrusca,43.49553741,90.62975751,1702.108334,21.19369825,5872.23513,2443.450977,18787.44655,6479.103581,58.33722074,464.2437805,0.16203938,0.758714543,61.42060867,99.08415708,0.012010469,2.153166172,4.328274157,0.064207474,0.021687626
x,588585,Vitis_labrusca,182.3957623,262.1961602,1740.510351,25.83865293,5927.779541,2078.562058,17690.40005,4681.692331,67.54095553,247.5894297,0.110881512,1.379558646,93.75884002,98.16910758,0.01732522,3.238237377,3.086823608,0.100637885,0.046205257
x,483157,Vitis_labrusca,118.207441,275.3561721,1952.790057,29.3815206,7255.799843,2662.808478,16313.12467,7112.759235,83.33540076,290.5692332,0.099941055,0.779607245,61.45413906,106.9074158,0.022567287,1.770569947,4.888009114,0.030089175,0.030822461
x,594349,Vitis_labrusca,216.9825228,544.2694705,2267.15364,18.11637092,6045.487648,2410.2521,17077.16951,4311.345004,52.51299912,117.8981404,0.086320338,0.722592552,93.76465796,123.8352736,0.023511629,7.550052668,3.3225699,0.321646884,0.025646983
x,588648,Vitis_labrusca,54.36103492,83.46901845,1627.823298,14.79252467,4366.853064,1863.121096,14397.60137,7509.29299,48.29376019,155.4632758,0.051333641,0.539380847,53.57047904,82.83999036,0.010100753,1.792064406,6.085488371,0.098511419,0.044737089
x,1587,Vitis_labrusca,92.63128881,263.2695368,1766.498673,21.07245262,4575.523268,1985.511766,16428.97485,3951.469768,41.60269546,304.1041907,0.128340476,0.296964403,43.57257496,98.33115236,0.021922984,4.556400088,3.994451725,0.156348065,0.016570513
x,588647,Vitis_labrusca,72.21802774,232.0736279,1489.556387,17.30516087,5364.224511,1980.241158,18988.89841,2939.812005,38.97363923,114.8067302,0.058052889,1.205250896,67.4073577,123.3905183,0.01981481,3.766920615,1.762004144,0.106321113,0.024390063
x,588658,Vitis_labrusca,35.07135217,259.4327426,1401.591488,19.91183384,4635.8593,1800.403578,18665.73951,2256.664967,31.80470105,146.6486591,0.06190937,0.390105567,51.67125191,75.77896761,0.010173848,3.060977476,1.442520448,0.096583173,0.03176242
x,483162,Vitis_labrusca,64.82160695,190.2697298,1436.92824,19.93341598,4463.071115,2327.708476,15550.92672,7471.918795,39.5842393,268.4291029,0.082815471,0.288070803,61.25371087,90.69352766,0.015179715,1.799290566,7.267554944,0.092014954,0.030228087
x,588675,Vitis_labrusca,35.49562793,176.3423658,1618.066754,13.87481378,4717.203226,1869.620356,16798.08764,3781.47424,38.46079624,167.2450838,0.071790347,0.361878525,53.57836728,106.3933246,0.010838795,3.606536364,3.626745918,0.445033095,0.010546888
x,483159,Vitis_labrusca,101.8171354,192.708644,2202.94734,27.08583754,5148.530432,1915.952238,19518.06312,4364.752452,47.00898119,119.6765107,0.059241127,1.30051032,68.39446385,142.7582164,0.016211546,3.791385341,3.349136134,0.072999297,0.020515505
x,483151,Vitis_labrusca,25.52320296,238.5929113,1366.373683,16.73701376,5543.421213,1941.84387,18104.53765,3309.169246,45.26527755,173.5368657,0.090707071,1.057195933,81.10405553,200.1417051,0.015587901,4.502088456,1.755051083,0.072760145,0.065561664
x,588307,Vitis_labrusca,99.83664948,467.3969908,1957.35541,14.81069462,5740.433929,2091.519666,18299.84788,4566.456049,37.60911783,266.9853593,0.112301585,0.868778346,78.65640137,124.4879151,0.007318597,4.775583898,3.565561616,0.14633185,0.051359645
x,588169,Vitis_labrusca,121.8403225,197.990774,1655.17409,18.2128684,5623.712604,2611.652512,16155.59164,8399.729057,49.8426443,287.5938892,0.125418614,0.427879746,59.92917966,91.65018448,0.015093878,6.85543204,7.7916402,0.92181254,0.017846859
x,597172,Vitis_labrusca,128.9484074,226.1190115,1349.516105,33.05753152,5035.861086,1930.787325,16969.49479,2754.307258,30.87720541,179.2652522,0.081514455,0.435395671,45.44743114,86.94089849,0.00698456,4.366548317,1.527790017,0.114460933,0.032184126
x,588277,Vitis_labrusca,50.85870019,293.8010398,1823.459371,20.67532076,5264.709444,2167.574239,17335.88765,5208.125404,41.64533996,182.3142951,0.068069033,0.58108076,67.36853257,83.13978557,0.007175284,3.482636251,5.538988097,0.067929035,0.023031629
x,597228,Vitis_labrusca,90.30026413,283.5916026,1498.163043,14.61946401,5389.009828,2313.194555,16063.63705,3073.165245,40.17482618,263.9157904,0.105230749,0.242478359,50.92142007,73.6622363,0.012246693,1.713509495,2.859187696,0.969186617,0.011301388
x,597203,Vitis_labrusca,143.0103628,579.317585,1731.019084,22.91846234,6298.271265,1949.068401,20386.19035,4123.427113,50.04544684,119.2305979,0.065484427,0.434053572,66.00891655,108.8203128,0.024413247,5.86719466,2.135749989,0.097298235,0.049780723
x,483155,Vitis_labrusca,132.8795008,180.2729699,1610.287954,18.81226825,5170.675986,2312.110896,16272.09495,6157.734162,40.84874195,285.7675613,0.122043701,0.425664609,53.99312227,94.97365122,0.014220246,2.603684344,6.754855507,0.07755505,0.013933408
x,588138,Vitis_labrusca,137.9570714,341.1825543,1417.289501,34.12046001,5910.91186,2293.577927,19246.29776,2207.968702,42.67299537,153.036444,0.123413052,5.556801316,69.62049274,144.8414054,0.03363058,4.41722454,1.567487921,0.109445605,0.031142959
x,483133,Vitis_labrusca,182.8709333,250.2704878,1688.65597,17.64903724,4995.598384,1953.624782,16015.1515,7161.641717,40.66025887,202.2481302,0.093693089,0.649803611,55.97175647,108.0819462,0.019155746,2.303306663,6.410556995,0.058031778,0.031732542
x,483152,Vitis_labrusca,104.4274471,232.4413793,1448.767109,19.38848869,5214.480463,2066.358159,16096.71045,5811.699522,48.33451991,246.5542727,0.097288282,0.766818013,54.90849751,101.9390168,0.016542273,2.87449601,4.293099158,0.039106917,0.026252493
x,483145,Vitis_labrusca,91.29726611,131.7032647,1712.784399,32.29188658,4713.025248,2082.132996,16936.2531,3766.387086,57.16900227,168.5534248,0.067612972,0.580460067,58.71417418,135.8221249,0.014664627,2.46771543,1.972240518,0.049641741,0.027123405
x,483163,Vitis_labrusca,41.78898391,36.21407657,1518.260264,64.19723884,6007.461423,1988.188523,19243.82889,4853.059432,34.17716843,151.1181316,0.074753365,0.28937409,56.46735277,90.57242323,0.005797156,3.434275152,7.011292899,0.149540457,0.029827908
x,483149,Vitis_labrusca,125.2642165,142.4648234,1640.15137,20.19000088,5760.507207,2084.90221,15183.48478,5172.171577,46.65466233,205.8637934,0.082697816,1.025126193,78.27276563,118.6014974,0.014548882,3.095015912,2.774954262,0.042508566,0.032434196
x,483150,Vitis_labrusca,28.69156896,90.10377468,1404.747731,25.22652285,4800.599914,2137.197834,17184.14672,2284.283178,45.65597009,190.4694116,0.090510329,0.624676946,63.08285426,87.97344778,0.00990756,3.044882741,1.471393847,0.07261374,0.018799144
x,483147,Vitis_labrusca,26.56015726,136.7558079,1448.594916,20.49277865,4899.851364,2237.043413,14119.33732,6138.911759,44.23854447,362.6413722,0.138138932,1.458838681,58.25862819,132.6495744,0.014893244,3.046904432,5.214244232,0.075589759,0.034826287
x,483154,Vitis_labrusca,228.9844676,304.1604776,1534.98366,20.89713388,5031.947298,2487.835317,17506.65377,5113.92257,50.6044079,298.8386913,0.128618572,0.415867911,46.06787392,100.9237003,0.012288359,2.938185115,5.420720039,0.070557634,0.025563645
x,588194,Vitis_labrusca,116.7642084,164.9584638,1504.485436,18.89724031,5409.340942,2139.001522,17206.46578,3796.65969,42.66547708,196.4401617,0.089958362,0.812038705,65.07374565,91.85871704,0.009744567,3.796381423,2.097861599,0.340290681,0.018423364
x,483153,Vitis_labrusca,181.8961356,303.5234984,1580.960496,23.14585747,6105.61984,2384.306241,17369.01215,7043.473597,53.5573068,258.5539305,0.09910845,0.835198697,76.09357208,113.9541313,0.01555818,2.35161807,8.629029779,0.051434032,0.025190762
x,483146,Vitis_labrusca,63.60022379,84.89614854,1642.732589,24.09899402,5937.199252,2296.822473,19400.52702,3426.434372,49.66868178,208.6656351,0.095394568,1.688660504,81.54665597,105.2546155,0.014202877,3.855825746,3.173489888,0.098581164,0.034334837
x,588152,Vitis_palmata,336.4979652,471.1203193,1623.908415,32.99354828,6740.105725,1692.676336,12367.5768,2885.040121,49.97519173,370.7368591,0.207090478,7.432198731,56.80093858,119.3235312,0.029918132,5.023105456,1.110653753,0.260969187,0.045466771
x,588155,Vitis_palmata,178.3695429,331.3670836,1359.155966,33.02633265,7196.06845,2495.256372,14644.76939,3372.665774,56.63999883,663.5913852,0.282134651,2.738345633,51.76713567,184.6487586,0.170572572,7.431345359,1.469607084,0.349577734,0.02443583
x,588201,Vitis_palmata,124.8973701,376.8209352,1404.192002,15.80944143,6918.314738,2624.652291,14450.21496,3070.453546,42.83502568,448.622864,0.319249535,8.205426755,52.89864315,125.4753787,0.024659703,6.716530756,1.615838211,0.135777834,0.083185365
x,588233,Vitis_palmata,205.9246408,295.5591242,2348.847263,22.68523125,6332.999716,1515.481889,13959.36808,12686.33081,77.54139358,691.9512193,0.294797948,2.078165988,58.98192896,123.6809789,0.01310468,2.34628706,13.71078316,0.150918534,0.043204085
x,588467,Vitis_palmata,110.565837,436.2891829,1478.948651,25.5711682,6677.257549,2312.500305,16613.8469,3474.747012,43.51688083,499.9913661,0.221834855,5.004237169,58.14691891,149.3972951,0.010816201,3.896890377,1.109578712,0.193111377,0.026152158
x,588440,Vitis_riparia,32.34987601,61.72363325,1425.18469,21.60241426,5421.525063,2223.755044,16794.31218,6662.673087,52.99343775,291.1400037,0.127715819,0.512824809,53.41300083,125.0492021,0.019098971,5.532950039,3.959326457,0.299054707,0.044852765
x,588214,Vitis_riparia,26.69373631,96.18496174,1707.609107,25.04550599,6221.256793,1256.87247,15725.87754,5582.162726,62.87665027,140.6845663,0.088686892,0.883646638,52.84810545,280.1441993,0.006317708,23.27740702,3.794493819,0.41616258,0.019566959
x,588276,Vitis_riparia,138.7470654,168.8803154,1842.264818,13.47004359,7021.755003,3225.394528,16054.53857,7904.487295,64.25121275,257.0380933,0.111323098,0.8696001,51.8441109,116.8686545,0.001689507,7.644110416,6.796653331,0.243327864,0.025113435
x,588273,Vitis_riparia,64.05215565,181.1765713,2043.979483,56.95795514,6757.671168,-239.545213,16302.32649,9671.028116,67.68102792,334.7593623,0.153853266,0.520346764,36.3389753,134.2481045,0.027575943,3.569476917,10.93411053,0.235738235,0.017246431
x,588204,Vitis_riparia,131.9131568,780.0640819,2203.17456,18.1828115,6068.947513,1927.420993,14316.47411,8910.230424,53.20705057,197.2228005,0.070708901,0.570650597,55.71133051,95.12197946,0.010870275,10.76077905,8.388320694,0.454846022,0.044156373
x,588439,Vitis_riparia,40.36524289,133.8692185,1165.4159,16.49479958,5685.997608,1945.752616,14918.32653,2707.792639,47.14252811,475.7157051,0.1904676,0.76106594,43.27241633,122.9570463,0.020723088,8.677097505,1.144641223,0.310990502,0.04060588
x,588190,Vitis_riparia,207.591521,292.0855028,1614.274284,19.82491247,5427.682328,1673.714054,16061.47042,5748.771013,67.61961054,174.5639417,0.194993291,0.510409187,29.04294834,92.53728489,0.018745364,6.98038492,3.224677677,0.327076345,0.020913964
x,588274,Vitis_riparia,171.2885908,167.843656,1584.751017,13.59041341,6532.123167,2492.014916,16216.76704,6693.517254,72.04366357,305.5505583,0.125377892,0.692607153,48.41524575,82.0259923,0.013218462,5.933108305,4.724355066,0.184338372,0.056667497
x,588353,Vitis_riparia,80.15465901,292.0727148,1842.058751,21.08024955,6496.177887,2306.01868,15581.83753,7050.370321,74.25930024,313.0791716,0.139285204,0.471767706,53.05863836,156.1743378,0.033313901,3.182883062,3.622871039,0.31816803,0.041534011
x,588435,Vitis_riparia,130.4379938,87.50606178,1287.532347,13.29269627,5470.823866,1779.53982,15990.87081,3893.615039,47.45582566,111.0043695,0.062063624,0.488852689,36.94592992,81.76695654,-0.003199667,5.385327542,3.065984883,0.148040671,0.035878807
x,255189,Vitis_riparia,34.76356958,102.6927515,1338.675337,20.67537109,5636.831323,1426.50874,14367.55218,2932.307527,59.17263786,229.8731921,0.104834575,1.419642112,43.31862455,91.03551864,0.011642193,7.83811427,1.471835288,0.374792024,0.031623842
x,588456,Vitis_riparia,268.6128809,586.7631948,2445.093456,19.94084776,6847.193814,2015.153933,14643.22068,6248.590953,57.85563851,182.4627229,0.129660637,1.401168419,48.01017317,96.65894291,0.018018647,3.296436226,4.067830168,0.428152251,0.022791388
x,588345,Vitis_riparia,36.25794084,75.06230773,2674.44242,15.94768773,6988.407526,1914.166526,17163.44249,9227.65635,74.07672013,283.0967763,0.095477889,0.757920256,55.39532934,175.8870903,0.02404881,14.11516542,7.519756262,0.336814032,0.027079569
x,588562,Vitis_riparia,64.26938804,187.0369897,1828.18522,37.26268065,6392.144794,1711.794413,16954.58063,5193.33183,78.23160937,255.7769949,0.142843327,0.37388064,41.60907442,118.6834043,0.000794391,12.64298138,3.022170393,0.298833338,0.024636442
x,483177,Vitis_riparia,161.8968869,451.2856891,1624.020091,22.57499387,6268.277357,2890.967571,15957.17852,7458.398415,77.05421699,365.4557832,0.139770947,0.589781892,81.04079635,114.7087595,0.020000939,9.504125761,5.874189218,0.462116805,0.01749432
x,588564,Vitis_riparia,33.10843932,247.4732,2118.94854,41.49312296,6543.583899,3089.988897,18566.74435,7899.851149,86.75154049,804.3285282,0.33208026,0.908016505,59.28735572,203.2747321,0.086798968,4.39113685,3.771710158,0.449640579,0.026008872
