IVNO	genus_species	number	Vineyard	Row 	Plant	rep	row_plant_xyz
588219	Vitis_cinerea	10	I1	11	31	Z	11_31_Z
588356	Vitis_cinerea	10	I1	11	33	X	11_33_X
588356	Vitis_cinerea	10	I1	11	33	Y	11_33_Y
588356	Vitis_cinerea	10	I1	11	33	Z	11_33_Z
588154	Vitis_cinerea	9	I1	11	35	X	11_35_X
588154	Vitis_cinerea	9	I1	11	35	Y	11_35_Y
588154	Vitis_cinerea	9	I1	11	35	Z	11_35_Z
588435	Vitis_riparia	12	I1	11	37	X	11_37_X
588435	Vitis_riparia	12	I1	11	37	Y	11_37_Y
588435	Vitis_riparia	12	I1	11	37	Z	11_37_Z
588197	Vitis_cinerea	13	I1	11	39	X	11_39_X
588197	Vitis_cinerea	13	I1	11	39	Y	11_39_Y
588197	Vitis_cinerea	13	I1	11	39	Z	11_39_Z
588371	Vitis_x_champinii	12	I1	11	41	X	11_41_X
588371	Vitis_x_champinii	12	I1	11	41	Y	11_41_Y
588371	Vitis_x_champinii	12	I1	11	41	Z	11_41_Z
588221	Vitis_cinerea	9	I1	11	43	X	11_43_X
588221	Vitis_cinerea	9	I1	11	43	Y	11_43_Y
588221	Vitis_cinerea	9	I1	11	43	Z	11_43_Z
588227	Vitis_rupestris	10	I1	11	45	X	11_45_X
588227	Vitis_rupestris	10	I1	11	45	Y	11_45_Y
588227	Vitis_rupestris	10	I1	11	45	Z	11_45_Z
588564	Vitis_riparia	11	I1	11	53	X	11_53_X
588564	Vitis_riparia	11	I1	11	53	Y	11_53_Y
588564	Vitis_riparia	11	I1	11	53	Z	11_53_Z
483164	Vitis_labrusca	10	I1	12	99	X	12_99_X
483164	Vitis_labrusca	10	I1	12	99	Y	12_99_Y
483164	Vitis_labrusca	10	I1	12	99	Z	12_99_Z
483161	Vitis_labrusca	11	I1	12	101	X	12_101_X
483161	Vitis_labrusca	11	I1	12	101	Y	12_101_Y
483161	Vitis_labrusca	11	I1	12	101	Z	12_101_Z
483169	Vitis_riparia	14	I1	12	103	X	12_103_X
483169	Vitis_riparia	14	I1	12	103	Y	12_103_Y
483169	Vitis_riparia	14	I1	12	103	Z	12_103_Z
483177	Vitis_riparia	12	I1	12	105	X	12_105_X
483177	Vitis_riparia	12	I1	12	105	Y	12_105_Y
483177	Vitis_riparia	12	I1	12	105	Z	12_105_Z
588508	Vitis_sp.	16	I1	12	107	X	12_107_X
588508	Vitis_sp.	16	I1	12	107	Y	12_107_Y
588508	Vitis_sp.	16	I1	12	107	Z	12_107_Z
588562	Vitis_riparia	15	I1	12	109	X	12_109_X
588562	Vitis_riparia	15	I1	12	109	Y	12_109_Y
588562	Vitis_riparia	15	I1	12	109	Z	12_109_Z
483160	Vitis_labrusca	9	I1	13	1	X	13_1_X
483160	Vitis_labrusca	9	I1	13	1	Y	13_1_Y
483160	Vitis_labrusca	9	I1	13	1	Z	13_1_Z
483171	Vitis_riparia	14	I1	13	3	X	13_3_X
483171	Vitis_riparia	14	I1	13	3	Y	13_3_Y
483171	Vitis_riparia	14	I1	13	3	Z	13_3_Z
588456	Vitis_riparia	11	I1	13	5	X	13_5_X
588456	Vitis_riparia	11	I1	13	5	Y	13_5_Y
588456	Vitis_riparia	11	I1	13	5	Z	13_5_Z
483148	Vitis_labrusca	9	I1	13	7	X	13_7_X
483148	Vitis_labrusca	9	I1	13	7	Y	13_7_Y
483148	Vitis_labrusca	9	I1	13	7	Z	13_7_Z
588439	Vitis_riparia	13	I1	13	11	X	13_11_X
588439	Vitis_riparia	13	I1	13	11	Y	13_11_Y
588439	Vitis_riparia	13	I1	13	11	Z	13_11_Z
588398	Vitis_cinerea	8	I1	13	13	X	13_13_X
588398	Vitis_cinerea	8	I1	13	13	Y	13_13_Y
588398	Vitis_cinerea	8	I1	13	13	Z	13_13_Z
483168	Vitis_riparia	13	I1	13	15	X	13_15_X
483168	Vitis_riparia	13	I1	13	15	Y	13_15_Y
483168	Vitis_riparia	13	I1	13	15	Z	13_15_Z
588274	Vitis_riparia	13	I1	13	17	X	13_17_X
588274	Vitis_riparia	13	I1	13	17	Y	13_17_Y
588274	Vitis_riparia	13	I1	13	17	Z	13_17_Z
588271	Vitis_riparia	15	I1	13	19	X	13_19_X
588271	Vitis_riparia	15	I1	13	19	Y	13_19_Y
588271	Vitis_riparia	15	I1	13	19	Z	13_19_Z
588355	Vitis_rupestris	12	I1	13	21	X	13_21_X
588355	Vitis_rupestris	12	I1	13	21	Y	13_21_Y
588355	Vitis_rupestris	12	I1	13	21	Z	13_21_Z
588276	Vitis_riparia	11	I1	13	23	X	13_23_X
588276	Vitis_riparia	11	I1	13	23	Y	13_23_Y
588276	Vitis_riparia	11	I1	13	23	Z	13_23_Z
255189	Vitis_riparia	15	I1	13	27	X	13_27_X
255189	Vitis_riparia	15	I1	13	27	Y	13_27_Y
255189	Vitis_riparia	15	I1	13	27	Z	13_27_Z
588440	Vitis_riparia	15	I1	13	31	X	13_31_X
588440	Vitis_riparia	15	I1	13	31	Y	13_31_Y
588440	Vitis_riparia	15	I1	13	31	Z	13_31_Z
588273	Vitis_riparia	14	I1	13	33	X	13_33_X
588273	Vitis_riparia	14	I1	13	33	Y	13_33_Y
588273	Vitis_riparia	14	I1	13	33	Z	13_33_Z
588455	Vitis_riparia	10	I1	13	37	X	13_37_X
588455	Vitis_riparia	10	I1	13	37	Y	13_37_Y
588455	Vitis_riparia	10	I1	13	37	Z	13_37_Z
483165	Vitis_riparia	15	I1	13	39	X	13_39_X
483165	Vitis_riparia	15	I1	13	39	Y	13_39_Y
483165	Vitis_riparia	15	I1	13	39	Z	13_39_Z
483172	Vitis_riparia	15	I1	13	41	X	13_41_X
483172	Vitis_riparia	15	I1	13	41	Y	13_41_Y
483172	Vitis_riparia	15	I1	13	41	Z	13_41_Z
483163	Vitis_labrusca	11	I1	13	43	X	13_43_X
483163	Vitis_labrusca	11	I1	13	43	Y	13_43_Y
483163	Vitis_labrusca	11	I1	13	43	Z	13_43_Z
483146	Vitis_labrusca	10	I1	13	47	X	13_47_X
483146	Vitis_labrusca	10	I1	13	47	Y	13_47_Y
483146	Vitis_labrusca	10	I1	13	47	Z	13_47_Z
483147	Vitis_labrusca	8	I1	13	49	X	13_49_X
483147	Vitis_labrusca	8	I1	13	49	Y	13_49_Y
483147	Vitis_labrusca	8	I1	13	49	Z	13_49_Z
483145	Vitis_labrusca	11	I1	13	51	X	13_51_X
483145	Vitis_labrusca	11	I1	13	51	Y	13_51_Y
483145	Vitis_labrusca	11	I1	13	51	Z	13_51_Z
483170	Vitis_riparia	11	I1	13	53	X	13_53_X
483170	Vitis_riparia	11	I1	13	53	Y	13_53_Y
483170	Vitis_riparia	11	I1	13	53	Z	13_53_Z
483181	Vitis_riparia	13	I1	13	55	X	13_55_X
483181	Vitis_riparia	13	I1	13	55	Y	13_55_Y
483181	Vitis_riparia	13	I1	13	55	Z	13_55_Z
588549	Vitis_sp.	11	I1	13	57	X	13_57_X
588549	Vitis_sp.	11	I1	13	57	Y	13_57_Y
588549	Vitis_sp.	11	I1	13	57	Z	13_57_Z
483149	Vitis_labrusca	12	I1	13	59	X	13_59_X
483149	Vitis_labrusca	12	I1	13	59	Y	13_59_Y
483149	Vitis_labrusca	12	I1	13	59	Z	13_59_Z
483133	Vitis_labrusca	11	I1	13	61	X	13_61_X
483133	Vitis_labrusca	11	I1	13	61	Y	13_61_Y
483133	Vitis_labrusca	11	I1	13	61	Z	13_61_Z
483175	Vitis_riparia	14	I1	13	65	X	13_65_X
483175	Vitis_riparia	14	I1	13	65	Y	13_65_Y
483175	Vitis_riparia	14	I1	13	65	Z	13_65_Z
588483	Vitis_riparia	16	I1	13	67	X	13_67_X
588483	Vitis_riparia	16	I1	13	67	Y	13_67_Y
588483	Vitis_riparia	16	I1	13	67	Z	13_67_Z
483153	Vitis_labrusca	12	I1	13	69	X	13_69_X
483153	Vitis_labrusca	12	I1	13	69	Y	13_69_Y
483153	Vitis_labrusca	12	I1	13	69	Z	13_69_Z
483150	Vitis_labrusca	12	I1	13	71	X	13_71_X
483150	Vitis_labrusca	12	I1	13	71	Y	13_71_Y
483150	Vitis_labrusca	12	I1	13	71	Z	13_71_Z
483182	Vitis_riparia	12	I1	13	73	X	13_73_X
483182	Vitis_riparia	12	I1	13	73	Y	13_73_Y
483182	Vitis_riparia	12	I1	13	73	Z	13_73_Z
588194	Vitis_labrusca	9	I1	13	77	X	13_77_X
588194	Vitis_labrusca	9	I1	13	77	Y	13_77_Y
588194	Vitis_labrusca	9	I1	13	77	Z	13_77_Z
588538	Ampelopsis_brevipedunculata	12	I1	13	83	X	13_83_X
588538	Ampelopsis_brevipedunculata	12	I1	13	83	Y	13_83_Y
588538	Ampelopsis_brevipedunculata	12	I1	13	83	Z	13_83_Z
483173	Vitis_riparia	14	I1	13	85	X	13_85_X
483173	Vitis_riparia	14	I1	13	85	Y	13_85_Y
483173	Vitis_riparia	14	I1	13	85	Z	13_85_Z
588401	Vitis_rupestris	14	I1	13	87	X	13_87_X
588401	Vitis_rupestris	14	I1	13	87	Y	13_87_Y
588401	Vitis_rupestris	14	I1	13	87	Z	13_87_Z
483167	Vitis_riparia	13	I1	13	89	X	13_89_X
483167	Vitis_riparia	13	I1	13	89	Y	13_89_Y
483167	Vitis_riparia	13	I1	13	89	Z	13_89_Z
483154	Vitis_labrusca	12	I1	13	93	X	13_93_X
483154	Vitis_labrusca	12	I1	13	93	Y	13_93_Y
483154	Vitis_labrusca	12	I1	13	93	Z	13_93_Z
483178	Vitis_riparia	14	I1	13	95	X	13_95_X
483178	Vitis_riparia	14	I1	13	95	Y	13_95_Y
483178	Vitis_riparia	14	I1	13	95	Z	13_95_Z
483130	Vitis_aestivalis	11	I1	13	97	X	13_97_X
483130	Vitis_aestivalis	11	I1	13	97	Y	13_97_Y
483130	Vitis_aestivalis	11	I1	13	97	Z	13_97_Z
483155	Vitis_labrusca	11	I1	13	99	X	13_99_X
483155	Vitis_labrusca	11	I1	13	99	Y	13_99_Y
483155	Vitis_labrusca	11	I1	13	99	Z	13_99_Z
588457	Vitis_riparia	16	I1	13	101	X	13_101_X
588457	Vitis_riparia	16	I1	13	101	Y	13_101_Y
588457	Vitis_riparia	16	I1	13	101	Z	13_101_Z
588565	Vitis_riparia	15	I1	13	103	X	13_103_X
588565	Vitis_riparia	15	I1	13	103	Y	13_103_Y
588565	Vitis_riparia	15	I1	13	103	Z	13_103_Z
483152	Vitis_labrusca	11	I1	13	107	X	13_107_X
483152	Vitis_labrusca	11	I1	13	107	Y	13_107_Y
483152	Vitis_labrusca	11	I1	13	107	Z	13_107_Z
588568	Vitis_riparia	14	I1	13	109	X	13_109_X
588568	Vitis_riparia	14	I1	13	109	Y	13_109_Y
588568	Vitis_riparia	14	I1	13	109	Z	13_109_Z
588331	Vitis_rupestris	11	I1	14	1	X	14_1_X
