Aug_8,Label,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63
MO_323_E029.jpg,E29,2748.5,1638.5,2718,1615,2753.5,1622.5,2778.5,1613.5,2617.5,1635.5,2634.5,1635.5,2624.5,1624.5,2574.5,1447.5,2584.5,1460.5,2590.5,1454.5,2765.5,1402.5,2764.5,1421.5,2778.5,1418.5,2295.5,1830.5,2079.5,1368.5,2217.5,1380.5,2133.5,1166.5,2371.5,989.5,2435.5,1063.5,2591.5,1189.5,2969.5,389.5,3689.5,5120.5,3531.5,4938.5,3719.5,5074.5,3765.5,5084.5,3141.5,5042.5,3177.5,5030.5,3149.5,5008.5,3057.5,4530.5,3089.5,4564.5,3097.5,4536.5,3711.5,4194.5,3711.5,4246.5,3743.5,4242.5,2363.5,6158.5,1387.5,4982.5,1579.5,4826.5,1459.5,4125.5,1911.5,2850.5,2275.5,2942.5,3048.5,2161.5,3972.5,2347.5,3429.5,9138.5,3351.5,9058.5,3463.5,9104.5,3533.5,9102.5,3021.5,9038.5,3045.5,9040.5,3039.5,9014.5,2971.5,8370.5,2985.5,8408.5,3015.5,8394.5,3703.5,8188.5,3695.5,8228.5,3729.5,8228.5,2476.5,9659.5,1582.5,8777.5,1714.5,8555.5,1504.5,7763.5,2566.5,6929.5,2890.5,6671.5,3148.5,7001.5,4024.5,5657.5
MO_351_E065.jpg,E65,2778,1815,2768.167,1799.5,2787.5,1789.5,2795.5,1784.167,2693.5,1848.833,2703.5,1844.167,2695.5,1838.167,2635.5,1730.167,2642.167,1734.167,2646.167,1726.833,2762.833,1650.167,2764.833,1662.833,2774.167,1658.833,2559.833,2075.167,2325.167,1845.833,2385.167,1796.5,2274.5,1667.167,2437.167,1334.167,2507.833,1402.167,2566.5,1313.5,2717.167,1022.167,3129.5,4694.5,3118.5,4671.5,3133.5,4660.5,3154.5,4679.5,2906.5,4699.5,2919.5,4698.5,2914.5,4691.5,2843.5,4440.5,2856.5,4451.5,2859.5,4441.5,3082.5,4161.5,3082.5,4180.5,3096.5,4173.5,2570.5,5105.5,2072.5,4641.5,2208.5,4577.5,2064.5,4221.5,2262.5,3505.5,2404.5,3557.5,2412.5,3412.5,2782.5,2817.5,3365.5,7373.5,3290.5,7280.5,3379.5,7334.5,3406.5,7298.5,3099.5,7239.5,3114.5,7244.5,3113.5,7233.5,3058.5,6799.5,3061.5,6817.5,3075.5,6811.5,3516.5,6792.5,3511.5,6808.5,3531.5,6811.5,2310.5,7491.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO_352_E067.jpg,E67,3135,2162,3096.167,2128.833,3144.833,2139.5,3176.167,2142.167,2966.167,2140.167,2982.167,2144.833,2976.167,2129.5,2907.5,1904.833,2916.167,1919.5,2930.833,1911.5,3146.833,1842.167,3143.5,1867.5,3164.167,1862.167,2487.5,2425.5,2239.5,1821.5,2333.5,1821.5,2301.5,1599.5,2517.5,1126.5,2645.5,1240.5,2749.5,1070.5,NA,NA,2945.5,5237.5,2833.5,5145.5,2959.5,5211.5,2995.5,5219.5,2557.5,5177.5,2589.5,5175.5,2577.5,5155.5,2547.5,4741.5,2563.5,4763.5,2575.5,4751.5,3025.5,4417.5,3025.5,4443.5,3041.5,4443.5,NA,NA,1247.5,4607.5,1439.5,4623.5,1435.5,4183.5,2035.5,3096.5,2223.5,3276.5,2519.5,3060.5,3103.5,2675.5,3722.833,8071.5,3676.167,8011.5,3729.5,8036.833,3757.5,8031.5,3377.5,8003.5,3397.5,8002.167,3386.833,7987.5,3381.5,7710.167,3396.167,7726.167,3408.167,7711.5,3629.5,7443.5,3634.833,7467.5,3649.5,7459.5,2993.5,8485.5,2549.5,7864.5,2636.5,7834.5,2501.5,7633.5,2540.5,6916.5,2768.5,6925.5,2870.5,6574.5,NA,NA
MO_353_E069.jpg,E69,3214,1848,3197.5,1830.5,3220.5,1827.5,3240.5,1830.5,3029.5,1851.5,3043.5,1850.5,3036.5,1837.5,3008.5,1649.5,3020.5,1661.5,3029.5,1649.5,3221.5,1549.5,3223.5,1570.5,3237.5,1567.5,2746.5,2033.5,2562.5,1731.5,2652.5,1699.5,2536.5,1543.5,2530.5,1193.5,2694.5,1229.5,2718.5,1017.5,3022.5,539.5,3566.5,5101.5,3444.5,4989.5,3584.5,5069.5,3614.5,5067.5,3176.5,5075.5,3202.5,5075.5,3188.5,5053.5,3098.5,4693.5,3118.5,4711.5,3130.5,4695.5,3574.5,4499.5,3578.5,4533.5,3602.5,4523.5,2654.5,5713.5,1942.5,4837.5,2158.5,4813.5,1926.5,4381.5,2326.5,3345.5,2646.5,3565.5,2826.5,3265.5,3458.5,2670.5,3566.167,7302.167,3559.5,7276.833,3571.5,7256.833,3590.167,7275.5,3366.167,7280.833,3379.5,7280.833,3372.833,7266.167,3346.167,7047.5,3358.167,7059.5,3368.833,7050.167,3571.5,6831.5,3575.5,6848.833,3590.167,6844.833,2995.5,7539.5,2741.5,7083.5,2879.5,7049.5,2769.5,6799.5,NA,NA,NA,NA,NA,NA,NA,NA
MO_354_E072.jpg,E72,3140,2406,3124.5,2376.5,3145.5,2378.5,3166.5,2371.5,3025.5,2408.5,3040.5,2409.5,3034.5,2396.5,2961.5,2168.5,2972.5,2182.5,2978.5,2173.5,3159.5,2071.5,3156.5,2089.5,3175.5,2088.5,2684.5,2661.5,2478.5,2213.5,2556.5,2199.5,2526.5,1977.5,2636.5,1607.5,2750.5,1649.5,NA,NA,3040.5,1144.5,3269.5,4538.5,3255.5,4518.5,3265.5,4509.5,3287.5,4525.5,3065.5,4583.5,3078.5,4577.5,3071.5,4567.5,2971.5,4325.5,2981.5,4334.5,2988.5,4322.5,3214.5,4126.5,3216.5,4143.5,3235.5,4138.5,2851.5,4919.5,2431.5,4547.5,2509.5,4509.5,2357.5,4243.5,2463.5,3704.5,2617.5,3712.5,2813.5,3452.5,3269.5,3046.5,NA,NA,NA,NA,NA,NA,NA,NA,3031.5,7961.5,3063.5,7959.5,3045.5,7939.5,2871.5,7539.5,2889.5,7555.5,2897.5,7535.5,3367.5,7214.5,3367.5,7236.5,3397.5,7238.5,2493.5,8673.5,1794.5,7704.5,1971.5,7695.5,1785.5,7323.5,NA,NA,NA,NA,2500.5,6150.5,2996.5,5317.5
MO_363_E087.jpg,E87,2560,1482,2544.5,1463.5,2565.5,1464.5,2583.5,1462.5,2396.5,1466.5,2411.5,1469.5,2408.5,1459.5,2387.5,1274.5,2395.5,1284.5,2400.5,1278.5,2580.5,1167.5,2578.5,1181.5,2590.5,1182.5,2019.5,1652.5,1813.5,1206.5,1921.5,1186.5,1855.5,986.5,2087.5,541.5,2247.5,653.5,2361.5,509.5,2759.5,393.5,3697.833,3621.167,3663.167,3577.167,3709.833,3575.833,3740.5,3557.167,3457.833,3558.5,3485.833,3561.167,3475.167,3547.833,3461.833,3283.833,3475.167,3301.167,3491.167,3289.167,3751.167,2939.5,3751.167,2963.5,3772.5,2956.833,2985.5,4094.5,2517.5,3446.5,2658.5,3374.5,2553.5,2783.5,2793.5,2177.5,NA,NA,NA,NA,NA,NA,3927.5,7150.5,3869.5,7096.5,3929.5,7104.5,3987.5,7118.5,3471.5,7160.5,3513.5,7166.5,3499.5,7142.5,3387.5,6644.5,3407.5,6662.5,3421.5,6644.5,3817.5,6138.5,3819.5,6170.5,3853.5,6168.5,2385.5,7801.5,1849.5,6781.5,2125.5,6657.5,1945.5,6057.5,2525.5,5089.5,2789.5,5225.5,3005.5,4881.5,3569.5,4118.5
MO_364_E089.jpg,E89,NA,NA,NA,NA,3123.167,2204.833,3140.5,2206.167,3031.833,2232.5,3041.167,2233.833,3037.167,2222.5,3006.5,2083.167,3011.167,2092.5,3017.167,2085.833,3187.833,1975.833,3181.167,1991.167,3195.167,1987.833,2731.833,2436.833,2571.833,2074.167,2637.167,2059.5,2590.5,1920.833,2757.167,1502.5,2897.167,1605.167,2998.5,1463.833,3381.833,1154.5,3220.5,5055.5,3176.5,5004.5,3227.5,5028.5,3253.5,5028.5,2987.5,5030.5,3007.5,5030.5,3000.5,5015.5,2941.5,4733.5,2947.5,4744.5,2957.5,4738.5,3229.5,4534.5,3228.5,4551.5,3243.5,4548.5,2525.5,5371.5,2241.5,4817.5,2367.5,4803.5,2231.5,4462.5,2517.5,3913.5,2685.5,3987.5,2867.5,3771.5,3077.5,3391.5,3205.167,7275.5,3163.833,7235.5,3214.5,7248.833,3242.5,7210.167,2825.167,7291.5,2838.5,7290.167,2833.167,7276.833,2857.167,6888.833,2863.833,6900.833,2874.5,6890.167,3289.167,6751.5,3287.833,6770.167,3306.5,6771.5,2344.5,7587.5,2170.5,6942.5,2293.5,6906.5,2218.5,6606.5,2638.5,6069.5,2779.5,6198.5,NA,NA,3301.5,5778.5
MO_367_E092.jpg,E92,2963,1751,2941.167,1733.5,2969.833,1731.5,2987.167,1736.167,2816.5,1739.5,2827.833,1740.167,2825.167,1730.167,2855.167,1634.167,2864.5,1647.5,2871.167,1638.833,2960.5,1447.5,2960.5,1462.833,2972.5,1460.833,2481.167,1901.5,2359.833,1501.5,2438.5,1532.167,2394.5,1333.5,2594.5,960.5,2693.167,1085.833,2719.833,1025.833,2779.833,626.5,NA,NA,NA,NA,NA,NA,NA,NA,3065.167,4720.5,3090.5,4721.833,3077.167,4704.5,2983.833,4232.5,2993.167,4256.5,3006.5,4247.167,3526.5,4048.167,3515.833,4081.5,3543.833,4078.833,2211.5,5172.5,1821.5,4131.5,2040.5,4128.5,1989.5,3705.5,2451.5,2862.5,2706.5,3102.5,2862.5,2874.5,3495.5,2232.5,3680.5,7966.167,3647.167,7946.167,3696.5,7932.833,3736.5,7931.5,3387.167,8050.167,3415.167,8048.833,3399.167,8024.833,3211.167,7614.167,3221.833,7630.167,3233.833,7618.167,3693.833,7173.167,3695.167,7194.5,3716.5,7194.5,2802.5,8680.5,2194.5,7984.5,2338.5,7892.5,2034.5,7556.5,2078.5,6328.5,2542.5,6436.5,2794.5,6071.5,3118.5,5278.5
MO_370_E095.jpg,E95,3259,1900,3247.833,1878.833,3261.167,1870.167,3275.833,1890.167,3108.5,1932.167,3121.833,1932.167,3113.167,1921.5,3081.833,1750.167,3088.5,1759.5,3097.833,1749.5,3232.5,1586.167,3234.5,1608.167,3245.167,1600.167,2768.5,2202.5,2514.5,1800.5,2608.5,1780.5,2520.5,1614.5,2652.5,1085.5,2792.5,1177.5,2856.5,1037.5,3286.5,585.5,3178.5,4626.5,3178.5,4596.5,3180.5,4562.5,3196.5,4552.5,3035.5,4645.833,3051.5,4644.5,3042.167,4629.833,2992.833,4416.5,3006.167,4428.5,3012.833,4420.5,3207.5,4133.167,3202.167,4155.833,3218.167,4154.5,2447.5,5079.5,2135.5,4518.5,2270.5,4443.5,2117.5,4125.5,2342.5,3393.5,2594.5,3468.5,2720.5,3288.5,3320.5,2646.5,3638.5,7636.5,3627.833,7619.167,3641.167,7600.5,3662.5,7600.5,3399.833,7663.167,3421.167,7660.5,3410.5,7648.5,3262.5,7341.833,3274.5,7355.167,3283.833,7343.167,3574.5,7142.5,3574.5,7159.833,3593.167,7154.5,3101.5,8181.5,2507.5,7701.5,2579.5,7596.5,2396.5,7248.5,2555.5,6465.5,2768.5,6471.5,2984.5,6279.5,3434.5,5697.5
MO_405_E132 (2).jpg,E132,NA,NA,NA,NA,NA,NA,3435.5,2104.5,3331.5,2148,3340.5,2147,3335,2139,3269.5,1982.5,3276,1988.5,3283,1981,3462.5,1881,3460,1891.5,3472.5,1892,3178.167,2341.5,2960.833,2096.167,2988.833,2068.167,2870.167,1905.5,2980.833,1496.167,3123.5,1537.5,3238.167,1417.833,3380.833,1058.5,3280.5,4441.5,3265.5,4418.5,3290.5,4404.5,3311.5,4396.5,2994.5,4438.5,3013.5,4434.5,3000.5,4419.5,2957.5,4148.5,2968.5,4158.5,2976.5,4152.5,3270.5,3947.5,3273.5,3964.5,3289.5,3961.5,2701.5,4861.5,2211.5,4365.5,2317.5,4309.5,2129.5,3921.5,2439.5,3189.5,2653.5,3317.5,2781.5,3143.5,3277.5,2633.5,3384.167,7244.167,3342.833,7198.833,3390.833,7205.5,3422.833,7241.5,3189.5,7250.833,3206.833,7253.5,3200.167,7238.833,3094.833,6937.833,3112.167,6949.833,3122.833,6937.833,3390.833,6584.5,3390.833,6613.833,3418.833,6609.833,2606.5,7684.5,NA,NA,2459.5,7072.5,2252.5,6766.5,NA,NA,2561.5,6106.5,2813.5,5668.5,NA,NA
MO_406_E133.jpg,E133,2891,1950,2855.833,1923.5,2892.5,1932.167,2908.5,1924.833,2698.5,1916.167,2709.167,1921.5,2709.833,1911.5,2753.167,1798.167,2757.833,1804.833,2763.167,1801.5,2874.5,1664.833,2874.5,1678.167,2883.833,1677.5,2421.833,1955.833,2341.833,1703.833,2392.5,1689.167,2384.5,1558.5,2388.5,1137.833,2499.167,1243.167,2609.833,1173.833,2908.5,810.167,3169.5,5060.5,3128.167,5009.833,3176.167,5023.167,3213.5,4989.833,2766.833,5008.5,2786.833,5011.167,2777.5,4993.833,2724.167,4585.833,2741.5,4601.833,2754.833,4591.167,3042.833,4199.5,3053.5,4220.833,3074.833,4212.833,1980.5,5403.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3485.5,7840.5,3454.833,7783.167,3496.167,7803.167,3537.5,7819.167,3098.833,7716.5,3124.167,7724.5,3118.833,7711.167,NA,NA,NA,NA,NA,NA,3496.167,7119.167,3505.5,7143.167,3524.167,7128.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2481.5,6239.5,3057.5,5295.5
